brand,model,model_type,price_euros,mileage,manual_automatic,year,fuel,power
Volkswagen,Arteon,2.0TDI 110kW,19790,125000,Manual,03/2019,Diésel,110 kW (150 CV)
Citroen,C8,2.2HDi 16v Premier II,5800,156545,Manual,08/2005,Diésel,96 kW (131 CV)
Mercedes-Benz,GLC 220,Coupé 220d 4Matic 9G-Tronic,37900,106714,Automático,11/2020,Diésel,143 kW (194 CV)
Nissan,Qashqai,1.5dCi Acenta 4x2 85kW,15830,87443,Manual,12/2019,Diésel,85 kW (116 CV)
Citroen,C3,1.2 PureTech S&S Feel 83,7904,80899,Manual,07/2019,Gasolina,60 kW (82 CV)
Mercedes-Benz,GLA 250,250e,30990,68000,Automático,12/2020,Electro/Gasolina,160 kW (218 CV)
BMW,X6,xDrive 40dA,16900,237000,Automático,01/2011,Diésel,225 kW (306 CV)
Dacia,Duster,1.5dCi Ambiance,7999,194500,Manual,12/2011,Diésel,63 kW (86 CV)
BMW,520,520dA,15999,170000,Automático,09/2014,Diésel,140 kW (190 CV)
Peugeot,308,1.6HDI FAP Sport 6 vel.,4200,225779,Manual,12/2008,Diésel,80 kW (109 CV)
Ford,Mondeo,2.0 TDCi Ghia,2500,270000,Manual,08/2004,Diésel,96 kW (131 CV)
BMW,X1,xDrive 18dA,10990,158000,Automático,12/2012,Diésel,105 kW (143 CV)
CUPRA,Leon,2.0 TSI DSG 140KW,24890,22300,Automático,01/2024,Gasolina,140 kW (190 CV)
Volkswagen,ID. Buzz,Pro 150 kW (204 CV),36000,17510,Automático,12/2023,Electro/Gasolina,150 kW (204 CV)
Land Rover,Range Rover Evoque,2.0 TD4 150cv Auto. 4x4 SE,14499,188244,Automático,11/2015,Diésel,110 kW (150 CV)
Ford,Kuga,2.0TDCi Auto S&S Titanium 4x2 150,13999,119919,Manual,05/2018,Diésel,110 kW (150 CV)
Toyota,C-HR,200H GR Sport Premiere Edition AWD,30950,12988,Automático,04/2024,Electro/Gasolina,144 kW (196 CV)
Toyota,Corolla,Verso 2.2D4D Luna,6990,159915,Manual,12/2008,Diésel,100 kW (136 CV)
Dacia,Duster,1.5Blue dCi Essential 4x2 85kW,12900,152000,Manual,12/2020,Diésel,85 kW (116 CV)
Toyota,Corolla,125H Business,14990,46990,Automático,01/2020,Electro/Gasolina,90 kW (122 CV)
Ferrari,12 Cilindri,12Cilindri,750000,23,Automático,01/2025,Gasolina,610 kW (829 CV)
Toyota,Corolla,Verso 2.2D4D Luna,6990,159915,Manual,12/2008,Diésel,100 kW (136 CV)
Dacia,Duster,1.5Blue dCi Essential 4x2 85kW,12900,152000,Manual,12/2020,Diésel,85 kW (116 CV)
Volkswagen,T-Cross,1.0 TSI Advance 81kW,19990,20000,Manual,01/2024,Gasolina,81 kW (110 CV)
Toyota,Corolla,125H Business,14990,46990,Automático,01/2020,Electro/Gasolina,90 kW (122 CV)
Ferrari,12 Cilindri,12Cilindri,750000,23,Automático,01/2025,Gasolina,610 kW (829 CV)
Renault,Clio,1.2 Pack Authentique,2790,130000,Manual,04/2004,Gasolina,44 kW (60 CV)
Peugeot,308,1.2 PureTech S&S Active Pack 130,14900,59120,Manual,03/2023,Gasolina,96 kW (131 CV)
Audi,A4,Avant 2.0TDI Multitronic DPF 143,8540,221754,Automático,07/2010,Diésel,105 kW (143 CV)
Fiat,500,1.2 Lounge,7450,82078,Manual,02/2020,Gasolina,51 kW (69 CV)
BMW,X3,xDrive 30dA,16500,168000,Automático,02/2014,Diésel,190 kW (258 CV)
BMW,225,225xe iPerformance Active Tourer,14990,108000,Automático,05/2019,Electro/Gasolina,165 kW (224 CV)
Volvo,V50,D5 Momentum Aut.,4950,240000,Automático,10/2006,Diésel,132 kW (179 CV)
Audi,A4,1.8,3610,151757,Manual,06/1999,Gasolina,132 kW (179 CV)
Audi,RS3,Sportback quattro S tronic 294kW,59900,68750,Automático,07/2022,Gasolina,294 kW (400 CV)
Toyota,,1.0 72CV Trendy,11300,57932,Manual,01/2023,Gasolina,53 kW (72 CV)
Alfa Romeo,Tonale,1.6 Diesel 131cv TCT Sprint,27290,9850,Automático,02/2024,Diésel,96 kW (131 CV)
Infiniti,QX50,3.0d GT Premium Aut.,12900,156000,Automático,05/2015,Diésel,175 kW (238 CV)
Opel,Corsa,1.2T XHL 74KW YES 5P,14850,1,Manual,02/2025,Gasolina,74 kW (101 CV)
Opel,Corsa,1.4 Business 90,6990,79965,Manual,01/2017,Gasolina,66 kW (90 CV)
Kia,Sportage,1.6 T-GDi Concept 150,20900,27000,Manual,08/2023,Gasolina,112 kW (152 CV)
BMW,X3,sDrive 18d Essential Edition,13900,167000,Manual,03/2013,Diésel,105 kW (143 CV)
Audi,A4,Avant 2.0TDI 110kW,18990,73000,Automático,01/2017,Diésel,110 kW (150 CV)
Nissan,Qashqai,1.6 Acenta 4x2,10499,92496,Manual,01/2014,Gasolina,84 kW (114 CV)
Renault,Clio,1.5dCi eco2 S&S Energy Dynamique 90,7990,81277,Manual,05/2013,Diésel,66 kW (90 CV)
Mercedes-Benz,C 220,220d 9G-Tronic,24800,117000,Automático,01/2021,Diésel,143 kW (194 CV)
CUPRA,Leon,1.5 eTSI 110 DSG,23700,16500,Automático,04/2024,Gasolina,110 kW (150 CV)
Porsche,Cayenne,4.5 Turbo S Aut.,15990,166000,Automático,12/2006,Gasolina,383 kW (521 CV)
Fiat,500,1.0 Hybrid Monotrim 52kW,10490,22018,Manual,01/2024,Gasolina,52 kW (71 CV)
SEAT,Ateca,2.0 TDI Xcellence Edition,17332,108894,Automático,11/2019,Diésel,110 kW (150 CV)
Kia,Sportage,1.7CRDi VGT Eco-Dynamics Drive 4x2,14990,72500,Manual,01/2017,Diésel,85 kW (116 CV)
Volkswagen,Sharan,2.0TDI Advance BMT DSG 140,11990,135000,Automático,04/2011,Diésel,103 kW (140 CV)
Peugeot,207,1.4 VTi 16v Sport,4999,96722,Manual,07/2009,Gasolina,70 kW (95 CV)
Mercedes-Benz,C 63 AMG,S 7G Plus,47990,102000,Automático,03/2015,Gasolina,375 kW (510 CV)
Kia,Ceed / cee'd,1.4CRDI WGT Concept 90,8400,180000,Manual,06/2015,Diésel,66 kW (90 CV)
MINI,Cooper,S,11990,72000,Manual,10/2009,Gasolina,128 kW (174 CV)
Jeep,Avenger,1.2 Ehybrid Altitude 100,18190,26074,Automático,02/2024,Gasolina,74 kW (101 CV)
Opel,Astra,1.6CDTi S/S Selective Pro 110,11990,61088,Manual,11/2020,Diésel,81 kW (110 CV)
Mercedes-Benz,S 350,BT 4M (4.75) Aut.,30000,238000,Automático,08/2016,Diésel,190 kW (258 CV)
Toyota,Yaris,MY'20 72CV,9900,42639,Manual,12/2019,Gasolina,53 kW (72 CV)
Porsche,Taycan,4S,69900,34000,Automático,08/2020,Electro/Gasolina,390 kW (530 CV)
Toyota,Yaris,MY'20 72CV,9900,42639,Manual,12/2019,Gasolina,53 kW (72 CV)
Porsche,Taycan,4S,69900,34000,Automático,08/2020,Electro/Gasolina,390 kW (530 CV)
SEAT,Altea XL,1.8 TSI Copa Style DSG,7200,105000,Automático,02/2010,Gasolina,118 kW (160 CV)
Mercedes-Benz,A 200,d AMG Line,12900,251000,Automático,10/2015,Diésel,100 kW (136 CV)
BMW,M3,,49900,89000,Manual,02/2009,Gasolina,309 kW (420 CV)
Citroen,C4,Grand Picasso 2.0BlueHDi S&S Exclusive EAT6,7950,212000,Automático,01/2014,Diésel,110 kW (150 CV)
Peugeot,Rifter,1.5BlueHDi S&S Standard Access 100,11990,160000,Manual,01/2021,Diésel,73 kW (99 CV)
Subaru,Forester,2.0i Hybrid Sport Plus CVT,28990,1524,Automático,12/2023,Electro/Gasolina,111 kW (151 CV)
Nissan,X-Trail,2.2DCi Elegance,5550,234000,Manual,04/2006,Diésel,100 kW (136 CV)
Volkswagen,Touareg,3.0TDI V6 Premium Tiptronic Elegance 4M 170kW,37990,110000,Automático,01/2022,Diésel,170 kW (231 CV)
SEAT,Ibiza,1.2 TSI S&S FR,8990,114802,Manual,06/2017,Gasolina,66 kW (90 CV)
Peugeot,2008,1.6 BlueHDI Style 100,9990,92658,Manual,03/2017,Diésel,73 kW (99 CV)
Subaru,Tribeca,3.6 Limited 5st Aut.,11900,143000,Automático,05/2009,Gasolina,190 kW (258 CV)
Volkswagen,CC,2.0TDI BMT DSG 177,13990,99000,Automático,12/2013,Diésel,130 kW (177 CV)
Renault,Laguna,1.5dCi Dynamique TomTom,5490,192000,Manual,05/2011,Diésel,81 kW (110 CV)
Hyundai,IONIQ,EV 28KWH KLASS 120 CV 5P,13400,39080,Automático,10/2018,Electro/Gasolina,88 kW (120 CV)
Jeep,Avenger,1.2 Altitude 100,18500,11348,Manual,07/2023,Gasolina,74 kW (101 CV)
Peugeot,Rifter,1.5 BLUEHDI 73KW ACTIVE STANDARD 5P,13400,129000,Manual,02/2020,Diésel,74 kW (101 CV)
Citroen,C-Elysée,1.6 VTi Seduction 115,5990,130000,Manual,06/2015,Gasolina,85 kW (116 CV)
Mercedes-Benz,C 200,9G-Tronic,39900,20000,Automático,03/2022,Gasolina,150 kW (204 CV)
Volvo,XC60,B4 Core AWD Aut.,35091,22053,Automático,12/2023,Diésel,145 kW (197 CV)
Mazda,CX-60,Exclusive-Line Hybrid AWD,31140,61085,Automático,01/2023,Electro/Gasolina,241 kW (328 CV)
Volkswagen,Tiguan,2.0TDI BMT Excellence 4M DSG 140,13000,162700,Automático,10/2012,Diésel,103 kW (140 CV)
SEAT,Arona,1.0 TGI S&S Style 90,10790,130000,Manual,01/2020,Gas licuado (GLP),66 kW (90 CV)
Mercedes-Benz,C 220,220d 9G-Tronic,37990,34000,Automático,03/2022,Diésel,147 kW (200 CV)
Audi,A3,Sportback 30TDI S line S tronic,23980,65119,Automático,04/2022,Diésel,85 kW (116 CV)
Peugeot,2008,1.2 PureTech S&S Signature 82,10190,18047,Manual,01/2019,Gasolina,60 kW (82 CV)
CUPRA,Formentor,1.5 TSI 150,21900,28100,Manual,06/2021,Gasolina,110 kW (150 CV)
Mercedes-Benz,CLK 200,270CDI,6990,133000,Manual,06/2004,Diésel,125 kW (170 CV)
Mercedes-Benz,C 200,9G-Tronic,20746,115301,Automático,07/2019,Gasolina,135 kW (184 CV)
Peugeot,208,1.2 PureTech Style 82,6800,98798,Manual,05/2017,Gasolina,60 kW (82 CV)
Mercedes-Benz,E 220,Coupé 220CDI (4.75),19790,65000,Automático,03/2014,Diésel,125 kW (170 CV)
Fiat,500,1.0 Hybrid Dolcevita 52kW,10890,18638,Manual,01/2024,Gasolina,52 kW (71 CV)
Lynk & Co,01,1.5T PHEV,23391,33721,Automático,04/2023,Electro/Gasolina,192 kW (261 CV)
Mercedes-Benz,A 200,200d 4Matic 8G-DCT,25000,94717,Automático,11/2020,Diésel,110 kW (150 CV)
Audi,A3,Sportback 35TDI Black line,25490,59940,Manual,03/2022,Diésel,110 kW (150 CV)
Volvo,XC90,B5 Business Plus 7pl. AWD Aut.,37791,99673,Automático,11/2020,Diésel,173 kW (235 CV)
Peugeot,607,2.7HDI Pack Titanio Aut.,5990,228543,Automático,03/2010,Diésel,150 kW (204 CV)
Nissan,Qashqai,1.6dCi Visia 4x2,12900,178000,Manual,08/2018,Diésel,96 kW (131 CV)
Kia,Ceed / cee'd,1.0 T-GDI Drive,16270,21430,Manual,06/2023,Gasolina,88 kW (120 CV)
Lynk & Co,01,1.5T PHEV,23391,33721,Automático,04/2023,Electro/Gasolina,192 kW (261 CV)
Mercedes-Benz,A 200,200d 4Matic 8G-DCT,25000,94717,Automático,11/2020,Diésel,110 kW (150 CV)
BMW,M5,M5A CS,136990,39200,Automático,06/2021,Gasolina,467 kW (635 CV)
Audi,A3,Sportback 35TDI Black line,25490,59940,Manual,03/2022,Diésel,110 kW (150 CV)
Volvo,XC90,B5 Business Plus 7pl. AWD Aut.,37791,99673,Automático,11/2020,Diésel,173 kW (235 CV)
Peugeot,607,2.7HDI Pack Titanio Aut.,5990,228543,Automático,03/2010,Diésel,150 kW (204 CV)
Nissan,Qashqai,1.6dCi Visia 4x2,12900,178000,Manual,08/2018,Diésel,96 kW (131 CV)
Kia,Ceed / cee'd,1.0 T-GDI Drive,16270,21430,Manual,06/2023,Gasolina,88 kW (120 CV)
Porsche,Macan,GTS Aut.,47490,116000,Automático,01/2018,Gasolina,265 kW (360 CV)
Ford,Focus,1.6 16v. Wagon Ambiente,2990,110000,Manual,09/2000,Gasolina,74 kW (101 CV)
Mercedes-Benz,CLA 250,Shooting Brake 250e 8G-DCT,27173,34868,Automático,01/2021,Electro/Gasolina,160 kW (218 CV)
Opel,Corsa,1.2T XHL S/S GS 100,12690,16036,Manual,04/2024,Gasolina,74 kW (101 CV)
Toyota,Prius,1.8 VVT-I PHEV HYBRID ADVANCE AUTO 122 5P,21450,56953,Automático,06/2021,Electro/Gasolina,90 kW (122 CV)
Citroen,C4,Grand Spacetourer 1.2 PureTech S&S Live 130,10500,169000,Manual,04/2021,Gasolina,96 kW (131 CV)
BMW,X6,xDrive 30dA,55900,104169,Automático,12/2020,Diésel,195 kW (265 CV)
Citroen,C-Elysée,1.5BlueHDi S&S Origins 100,9990,42000,Manual,01/2020,Diésel,75 kW (102 CV)
Chevrolet,Camaro,Coupé Aut.,32000,68500,Automático,01/2017,Gasolina,- kW (- CV)
Opel,Corsa,1.2T XHL S/S GS 100,12690,17167,Manual,04/2024,Gasolina,74 kW (101 CV)
Lexus,GS 300,300h Eco,20980,93867,Automático,11/2016,Electro/Gasolina,164 kW (223 CV)
Land Rover,Range Rover Velar,2.0D I4 MHEV S 4WD Aut. 204,26999,180000,Automático,04/2021,Diésel,150 kW (204 CV)
Mercedes-Benz,B 200,-CLASS 1.8 CDI 136 5P,14990,96451,Manual,02/2015,Diésel,100 kW (136 CV)
Ford,Focus,Trend,4490,200145,Manual,12/2011,Diésel,85 kW (116 CV)
SEAT,Leon,2.0TDI FR1,7599,169000,Manual,09/2007,Diésel,125 kW (170 CV)
Dodge,Caliber,2.0CRD S,5800,125000,Manual,07/2006,Diésel,103 kW (140 CV)
Land Rover,Range Rover Evoque,2.2L SD4 Sicilian Yellow LE 4x4 190 Aut.,17990,149000,Automático,09/2013,Diésel,140 kW (190 CV)
Volkswagen,Passat,Variant 1.6TDI Business Edition BMT,9990,149000,Manual,07/2013,Diésel,77 kW (105 CV)
Mercedes-Benz,E 220,CDI,5500,320000,Manual,01/2002,Diésel,110 kW (150 CV)
Audi,Q7,3.0TDI Ambition Tiptronic,15990,180000,Automático,02/2011,Diésel,176 kW (239 CV)
Fiat,Qubo,Fiorino 1.3Mjt Dynamic 95,5990,250000,Manual,01/2015,Diésel,70 kW (95 CV)
Pontiac,Solstice,,18900,56000,Automático,02/2007,Gasolina,- kW (- CV)
Chrysler,300C,3.0CRD Executive Aut.,7990,245000,Automático,06/2010,Diésel,160 kW (218 CV)
Land Rover,Range Rover Evoque,2.0TD4 SE Dynamic 4WD Aut. 150,17900,125000,Automático,04/2016,Diésel,110 kW (150 CV)
Skoda,Octavia,2.0TDI CR Ambition,11900,100925,Manual,04/2015,Diésel,110 kW (150 CV)
SEAT,Leon,1.6TDICR Reference Copa E-eco. S&S,7499,139999,Manual,07/2011,Diésel,77 kW (105 CV)
Peugeot,208,1.2 PureTech S&S Active 82,7500,75000,Manual,12/2019,Gasolina,61 kW (83 CV)
Mercedes-Benz,GLA 220,220CDI AMG Line 7G-DCT,18490,167000,Automático,01/2015,Diésel,125 kW (170 CV)
Volvo,V40,D2 Kinetic Aut. 120,13990,87653,Automático,07/2017,Diésel,88 kW (120 CV)
Opel,Corsa,1.2T XHL S/S Elegance 100,12985,16654,Manual,01/2022,Gasolina,74 kW (101 CV)
Land Rover,Discovery,Expedition Td5 (138 CV) 7 asientos,12900,100000,Manual,06/2001,Diésel,101 kW (137 CV)
Audi,A8,3.3TDI quattro Tiptronic,4500,296000,Automático,01/2000,Diésel,165 kW (224 CV)
Mercedes-Benz,E 220,CDI,5500,320000,Manual,01/2002,Diésel,110 kW (150 CV)
Audi,Q7,3.0TDI Ambition Tiptronic,15990,180000,Automático,02/2011,Diésel,176 kW (239 CV)
Fiat,Qubo,Fiorino 1.3Mjt Dynamic 95,5990,250000,Manual,01/2015,Diésel,70 kW (95 CV)
Pontiac,Solstice,,18900,56000,Automático,02/2007,Gasolina,- kW (- CV)
Toyota,RAV 4,150D Advance 2WD,19450,80054,Manual,08/2016,Diésel,105 kW (143 CV)
Chrysler,300C,3.0CRD Executive Aut.,7990,245000,Automático,06/2010,Diésel,160 kW (218 CV)
Land Rover,Range Rover Evoque,2.0TD4 SE Dynamic 4WD Aut. 150,17900,125000,Automático,04/2016,Diésel,110 kW (150 CV)
SEAT,Leon,1.6TDICR Reference Copa E-eco. S&S,7499,139999,Manual,07/2011,Diésel,77 kW (105 CV)
Peugeot,208,1.2 PureTech S&S Active 82,7500,75000,Manual,12/2019,Gasolina,61 kW (83 CV)
Mercedes-Benz,GLA 220,220CDI AMG Line 7G-DCT,18490,167000,Automático,01/2015,Diésel,125 kW (170 CV)
Mazda,CX-5,2.2DE Style + Navegador 2WD,11999,189000,Manual,01/2016,Diésel,110 kW (150 CV)
Volvo,V40,D2 Kinetic Aut. 120,13990,87653,Automático,07/2017,Diésel,88 kW (120 CV)
Opel,Corsa,1.2T XHL S/S Elegance 100,12985,16654,Manual,01/2022,Gasolina,74 kW (101 CV)
Land Rover,Discovery,Expedition Td5 (138 CV) 7 asientos,12900,100000,Manual,06/2001,Diésel,101 kW (137 CV)
Audi,A8,3.3TDI quattro Tiptronic,4500,296000,Automático,01/2000,Diésel,165 kW (224 CV)
Infiniti,Q50,3.5 Hybrid Premium Aut.,21900,99000,Automático,05/2019,Electro/Gasolina,268 kW (364 CV)
Nissan,Qashqai,1.5dCi Acenta 4x2,8300,164949,Manual,01/2012,Diésel,81 kW (110 CV)
Kia,Picanto,1.1 LX,3199,116000,Manual,04/2006,Gasolina,48 kW (65 CV)
Mercedes-Benz,CLS 350,Shooting Brake BT 4M Aut.,22990,149999,Automático,03/2014,Diésel,185 kW (252 CV)
DS Automobiles,DS 7 Crossback,E-Tense Be Chic Aut. 4x4,22690,67613,Automático,07/2020,Electro/Gasolina,220 kW (299 CV)
Opel,Corsa,1.2T XHT S/S GS-Line + AT8 130,12400,41152,Automático,09/2021,Gasolina,96 kW (131 CV)
BMW,218,218iA Gran Coupé,23900,96400,Automático,01/2021,Gasolina,100 kW (136 CV)
Kia,Stonic,1.2 DPi Drive,15400,14508,Manual,06/2023,Gasolina,62 kW (84 CV)
SEAT,Ibiza,1.6TDI CR Copa Style DPF,6490,134000,Manual,03/2011,Diésel,66 kW (90 CV)
Kia,Sportage,1.6 GDi x-Tech17 4x2,12990,114000,Manual,01/2018,Gasolina,97 kW (132 CV)
Alfa Romeo,Spider,2.0 JTS,7990,117000,Manual,06/2004,Gasolina,121 kW (165 CV)
Mercedes-Benz,CLK 200,280,9990,147000,Manual,06/2007,Gasolina,170 kW (231 CV)
Audi,A4,Avant 2.0TDI 110kW,14900,216980,Manual,04/2018,Diésel,110 kW (150 CV)
Hyundai,i10,1.0 MPI Klass,7490,95105,Manual,05/2019,Gasolina,49 kW (67 CV)
Ford,Puma,1.0 EcoBoost 125cv Titanium MHEV,14140,45552,Manual,08/2022,Electro/Gasolina,92 kW (125 CV)
Mercedes-Benz,GLS 350,350d 4Matic Aut.,44990,120000,Automático,06/2019,Diésel,190 kW (258 CV)
SEAT,Arona,1.0 TSI S&S FR XM 110,16890,6182,Manual,06/2023,Gasolina,81 kW (110 CV)
Ford,Focus,1.0 Ecoboost 125CV MHEV ST-Line,14700,59346,Manual,01/2022,Electro/Gasolina,92 kW (125 CV)
Jaguar,F-Type,Coupé 3.0 V6 Aut. 340,39900,72000,Automático,03/2016,Gasolina,250 kW (340 CV)
Lexus,NX 300,300h Executive 4WD,22350,135000,Automático,04/2017,Electro/Gasolina,145 kW (197 CV)
Opel,Corsa,1.2T XHL 74kW (100CV) GS,13900,7943,Manual,04/2024,Gasolina,74 kW (101 CV)
Mercedes-Benz,GLK 220,220CDI BE 4M Aut.,13900,178977,Automático,01/2011,Diésel,125 kW (170 CV)
Ford,Focus,1.0 Ecoboost Auto-S&S Trend+ 125,7995,110000,Manual,11/2014,Gasolina,92 kW (125 CV)
Hyundai,TUCSON,KLASS 1.6 TGDI 150CV,20990,11660,Manual,04/2024,Gasolina,110 kW (150 CV)
Kia,Sportage,1.7CRDi Drive,9990,150000,Manual,02/2012,Diésel,85 kW (116 CV)
Kia,Sportage,1.7CRDi Drive,9990,150000,Manual,02/2012,Diésel,85 kW (116 CV)
Renault,Megane,1.5DCi Confort Dynamique,3750,204037,Manual,02/2004,Diésel,59 kW (80 CV)
Kia,EV6,Long Range Air RWD 168kW,31630,11362,Automático,06/2023,Electro/Gasolina,168 kW (228 CV)
Nissan,Qashqai,1.2 DIG-T Acenta 4x2,12490,68518,Manual,10/2016,Gasolina,85 kW (116 CV)
SEAT,Ibiza,1.0 MPI Evo S&S Style XM 80,13990,23881,Manual,04/2024,Gasolina,59 kW (80 CV)
Mercedes-Benz,GLA 200,200d 7G-DCT,20990,110000,Automático,11/2019,Diésel,100 kW (136 CV)
Land Rover,Range Rover Evoque,2.0TD4 HSE 4WD Aut. 150,16500,130000,Automático,12/2018,Diésel,110 kW (150 CV)
Mercedes-Benz,E 220,,33701,32000,Automático,03/2021,Diésel,143 kW (194 CV)
Opel,Corsa,1.3 ecoFlex C Mon,5999,69800,Manual,04/2011,Diésel,55 kW (75 CV)
Audi,A5,Sportback 1.8 TFSI S line edition 177,15500,150000,Manual,10/2016,Gasolina,130 kW (177 CV)
Porsche,Cayenne,Diesel Platinum Edition Aut.,29990,182692,Automático,10/2017,Diésel,193 kW (262 CV)
Renault,Kangoo,Combi 1.5dCi Blue Profesional 70kW,8917,150000,Manual,02/2021,Diésel,70 kW (95 CV)
Volkswagen,ID.3,1st Max 150 kW (204 CV) (E113MJ13),18790,29361,Automático,10/2020,Electro/Gasolina,150 kW (204 CV)
Toyota,C-HR,1.8 125H Advance,20360,96447,Automático,03/2023,Electro/Gasolina,90 kW (122 CV)
MG,ZS,1.5 VTi-Tech Comfort 78kW,15290,4290,Manual,10/2024,Gasolina,78 kW (106 CV)
Renault,Fluence,1.5dCi Dynamique 110 eco2,4300,270084,Manual,05/2012,Diésel,81 kW (110 CV)
Skoda,Octavia,1.5 TSI MHEV Selection DSG,24900,16380,Automático,03/2024,Gasolina,110 kW (150 CV)
Mercedes-Benz,A 140,Elegance,2600,170000,Manual,04/1998,Gasolina,60 kW (82 CV)
Opel,Corsa,1.4 Expression 75,6750,41416,Manual,01/2017,Gasolina,55 kW (75 CV)
Porsche,Macan,Turbo,122999,6000,Automático,09/2024,Electro/Gasolina,470 kW (639 CV)
